t,body,x,y
264060,Moon,1.49688e+11,8.10983e+09
270060,Sun,657.252,11.7869
270060,Earth,1.49385e+11,8.04119e+09
270060,Moon,1.49675e+11,8.29295e+09
276060,Sun,686.773,12.5901
276060,Earth,1.49375e+11,8.21968e+09
276060,Moon,1.49661e+11,8.47599e+09
282060,Sun,716.943,13.4289
282060,Earth,1.49365e+11,8.39816e+09
282060,Moon,1.49647e+11,8.65895e+09
288060,Sun,747.761,14.3041
288060,Earth,1.49355e+11,8.57663e+09
288060,Moon,1.49633e+11,8.84184e+09
294060,Sun,779.226,15.2165
294060,Earth,1.49345e+11,8.75508e+09
294060,Moon,1.49618e+11,9.02465e+09
300060,Sun,811.34,16.167
300060,Earth,1.49334e+11,8.93352e+09
300060,Moon,1.49604e+11,9.20737e+09
306060,Sun,844.101,17.1562
306060,Earth,1.49324e+11,9.11195e+09
306060,Moon,1.49588e+11,9.39002e+09
312060,Sun,877.51,18.185
312060,Earth,1.49313e+11,9.29037e+09
312060,Moon,1.49573e+11,9.57257e+09
318060,Sun,911.567,19.2541
318060,Earth,1.49302e+11,9.46878e+09
318060,Moon,1.49557e+11,9.75505e+09
324060,Sun,946.272,20.3643
324060,Earth,1.4929e+11,9.64717e+09
324060,Moon,1.49541e+11,9.93744e+09
330060,Sun,981.624,21.5163
330060,Earth,1.49279e+11,9.82555e+09
330060,Moon,1.49525e+11,1.01197e+10
336060,Sun,1017.62,22.711
336060,Earth,1.49267e+11,1.00039e+10
336060,Moon,1.49509e+11,1.03019e+10
342060,Sun,1054.27,23.9491
342060,Earth,1.49255e+11,1.01823e+10
342060,Moon,1.49492e+11,1.04841e+10
348060,Sun,1091.57,25.2314
348060,Earth,1.49243e+11,1.03606e+10
348060,Moon,1.49475e+11,1.06661e+10
354060,Sun,1129.51,26.5586
354060,Earth,1.4923e+11,1.05389e+10
354060,Moon,1.49457e+11,1.0848e+10
360060,Sun,1168.1,27.9316
360060,Earth,1.49218e+11,1.07173e+10
360060,Moon,1.4944e+11,1.10299e+10
366060,Sun,1207.34,29.3511
366060,Earth,1.49205e+11,1.08956e+10
366060,Moon,1.49422e+11,1.12116e+10
372060,Sun,1247.22,30.8178
372060,Earth,1.49192e+11,1.10738e+10
372060,Moon,1.49404e+11,1.13933e+10
378060,Sun,1287.75,32.3327
378060,Earth,1.49178e+11,1.12521e+10
378060,Moon,1.49385e+11,1.15748e+10
384060,Sun,1328.93,33.8963
384060,Earth,1.49165e+11,1.14304e+10
384060,Moon,1.49367e+11,1.17563e+10
390060,Sun,1370.76,35.5096
390060,Earth,1.49151e+11,1.16086e+10
390060,Moon,1.49348e+11,1.19376e+10
396060,Sun,1413.23,37.1732
396060,Earth,1.49137e+11,1.17868e+10
396060,Moon,1.49329e+11,1.21189e+10
402060,Sun,1456.35,38.888
402060,Earth,1.49123e+11,1.1965e+10
402060,Moon,1.49309e+11,1.23e+10
408060,Sun,1500.12,40.6547
408060,Earth,1.49109e+11,1.21432e+10
408060,Moon,1.49289e+11,1.24811e+10
414060,Sun,1544.53,42.4741
414060,Earth,1.49094e+11,1.23214e+10
414060,Moon,1.4927e+11,1.2662e+10
420060,Sun,1589.59,44.347
420060,Earth,1.4908e+11,1.24996e+10
420060,Moon,1.49249e+11,1.28429e+10
426060,Sun,1635.3,46.2741
426060,Earth,1.49065e+11,1.26777e+10
426060,Moon,1.49229e+11,1.30236e+10
432060,Sun,1681.65,48.2563
432060,Earth,1.49049e+11,1.28558e+10
432060,Moon,1.49208e+11,1.32042e+10
438060,Sun,1728.65,50.2942
438060,Earth,1.49034e+11,1.30339e+10
438060,Moon,1.49187e+11,1.33848e+10
444060,Sun,1776.3,52.3887
444060,Earth,1.49018e+11,1.3212e+10
444060,Moon,1.49166e+11,1.35652e+10
450060,Sun,1824.59,54.5405
450060,Earth,1.49003e+11,1.33901e+10
450060,Moon,1.49144e+11,1.37455e+10
456060,Sun,1873.53,56.7504
456060,Earth,1.48987e+11,1.35682e+10
456060,Moon,1.49123e+11,1.39257e+10
462060,Sun,1923.12,59.0192
462060,Earth,1.4897e+11,1.37462e+10
462060,Moon,1.49101e+11,1.41057e+10
468060,Sun,1973.35,61.3477
468060,Earth,1.48954e+11,1.39242e+10
468060,Moon,1.49078e+11,1.42857e+10
474060,Sun,2024.23,63.7365
474060,Earth,1.48937e+11,1.41022e+10
474060,Moon,1.49056e+11,1.44656e+10
480060,Sun,2075.75,66.1866
480060,Earth,1.4892e+11,1.42802e+10
480060,Moon,1.49033e+11,1.46453e+10
486060,Sun,2127.92,68.6987
486060,Earth,1.48903e+11,1.44581e+10
486060,Moon,1.4901e+11,1.48249e+10
492060,Sun,2180.74,71.2734
492060,Earth,1.48886e+11,1.46361e+10
492060,Moon,1.48987e+11,1.50044e+10
498060,Sun,2234.2,73.9117
498060,Earth,1.48868e+11,1.4814e+10
498060,Moon,1.48964e+11,1.51838e+10
504060,Sun,2288.31,76.6143
504060,Earth,1.48851e+11,1.49919e+10
504060,Moon,1.4894e+11,1.53631e+10
510060,Sun,2343.06,79.3819
510060,Earth,1.48833e+11,1.51698e+10
510060,Moon,1.48916e+11,1.55423e+10
516060,Sun,2398.46,82.2154
516060,Earth,1.48815e+11,1.53477e+10
516060,Moon,1.48892e+11,1.57213e+10
522060,Sun,2454.51,85.1154
522060,Earth,1.48796e+11,1.55255e+10
522060,Moon,1.48867e+11,1.59002e+10
528060,Sun,2511.2,88.0829
528060,Earth,1.48778e+11,1.57033e+10
528060,Moon,1.48843e+11,1.6079e+10
534060,Sun,2568.54,91.1184
534060,Earth,1.48759e+11,1.58811e+10
534060,Moon,1.48818e+11,1.62577e+10
540060,Sun,2626.52,94.2229
540060,Earth,1.4874e+11,1.60589e+10
540060,Moon,1.48793e+11,1.64363e+10
546060,Sun,2685.15,97.3971
546060,Earth,1.48721e+11,1.62366e+10
546060,Moon,1.48768e+11,1.66147e+10
552060,Sun,2744.42,100.642
552060,Earth,1.48701e+11,1.64144e+10
552060,Moon,1.48742e+11,1.6793e+10
558060,Sun,2804.33,103.958
558060,Earth,1.48682e+11,1.65921e+10
558060,Moon,1.48716e+11,1.69712e+10
564060,Sun,2864.9,107.345
564060,Earth,1.48662e+11,1.67698e+10
564060,Moon,1.4869e+11,1.71493e+10
570060,Sun,2926.1,110.806
570060,Earth,1.48642e+11,1.69474e+10
570060,Moon,1.48664e+11,1.73272e+10
576060,Sun,2987.96,114.34
576060,Earth,1.48621e+11,1.71251e+10
576060,Moon,1.48638e+11,1.75051e+10
582060,Sun,3050.45,117.949
582060,Earth,1.48601e+11,1.73027e+10
582060,Moon,1.48611e+11,1.76828e+10
588060,Sun,3113.59,121.632
588060,Earth,1.4858e+11,1.74803e+10
588060,Moon,1.48584e+11,1.78603e+10
594060,Sun,3177.38,125.392
594060,Earth,1.48559e+11,1.76579e+10
594060,Moon,1.48557e+11,1.80378e+10
600060,Sun,3241.81,129.228
600060,Earth,1.48538e+11,1.78354e+10
600060,Moon,1.4853e+11,1.82151e+10
606060,Sun,3306.88,133.141
606060,Earth,1.48517e+11,1.80129e+10
606060,Moon,1.48503e+11,1.83923e+10
612060,Sun,3372.6,137.133
612060,Earth,1.48495e+11,1.81904e+10
612060,Moon,1.48475e+11,1.85694e+10
618060,Sun,3438.96,141.203
618060,Earth,1.48474e+11,1.83679e+10
618060,Moon,1.48447e+11,1.87463e+10
624060,Sun,3505.97,145.353
624060,Earth,1.48452e+11,1.85454e+10
624060,Moon,1.48419e+11,1.89232e+10
630060,Sun,3573.62,149.584
630060,Earth,1.48429e+11,1.87228e+10
630060,Moon,1.48391e+11,1.90999e+10
636060,Sun,3641.92,153.896
